,Name,Link,Image,Calories,Ingredients
0,Icy Taro Ball Signature,https://www.meetfresh.us/icy-taro-ball-signature/,https://meetfresh.us/wp-content/uploads/2022/10/icy-taro-ball-Signature.png,694,"Taro Balls, Taro Paste, Potaro Balls, Boba, Shaved Ice"
1,Meet Fresh - Icy Grass Jelly Signature,https://www.meetfresh.us/icy-grass-jelly-signature/,https://meetfresh.us/wp-content/uploads/2019/10/Signature-Icy-Grass-Jelly.png,420,"Taro Balls, Grass Jelly Shaved Ice, Grass Jelly"
2,Double Taro Signature,https://meetfresh.us/double-taro-signature-2/,https://meetfresh.us/wp-content/uploads/2023/01/雙芋招牌-1.png,586,"Taro Balls, Taro Paste, Ice Cream, Grass Jelly Shaved Ice, Grass Jelly"
3,,https://www.meetfresh.us/hot-red-bean-soup-signature/,https://meetfresh.us/wp-content/uploads/2025/02/04-Hot-Red-Bean-Soup-Signature-2024.png,1135,"Taro Balls, Sesame Rice Balls, Taro, Red Beans, Boba, Red Bean Soup"
4,"Hot Grass Jelly Signature - Mini Taro Balls, Red Beans, Boba",https://www.meetfresh.us/hot-grass-jelly-soup-signature/,https://meetfresh.us/wp-content/uploads/2021/04/Hot-Grass-Jelly-Signature-trasparent.png,944,"Mini Q, Red Beans, Boba, Grass Jelly Soup *Hot Grass Jelly is liquid"
5,,https://meetfresh.us/cold-coco-sago-soup-signature/,https://meetfresh.us/wp-content/uploads/2025/02/01-Cold-Coco-Sago-Signature-2024.png,1465,"Mini Q, Taro, Boba, Coco Mochi, Sago, Coco Sago Soup"
6,,https://www.meetfresh.us/hot-almond-soup-signature/,https://meetfresh.us/wp-content/uploads/2025/02/01-Hot-Coco-Sago-Signature.jpg,965,"Mini Q, Red Beans,  Boba, Almond Flakes, Almond Soup"
7,,https://www.meetfresh.us/hot-almond-soup-signature/,https://meetfresh.us/wp-content/uploads/2025/02/01-Hot-Almond-Soup-Signature-1.png,965,"Mini Q, Red Beans,  Boba, Almond Flakes, Almond Soup"
8,"Icy Taro Ball - Combo A - Red Beans, Peanuts, Boba",https://www.meetfresh.us/icy-taro-ball-combos,https://meetfresh.us/wp-content/uploads/2019/10/356a4444-8cf0-45a9-8c66-2d0b7733fb30.png,988,"<img alt=""Contains Peanut Allergen"" class=""alignnone wp-image-4975"" decoding=""async"" height=""20"" loading=""lazy"" src=""https://meetfresh.us/wp-content/uploads/2021/04/allergy-icons-peanuts-1.png"" width=""20""/>"
9,"Icy Grass Jelly Combo A - Red Beans, Peanuts, Boba",https://www.meetfresh.us/icy-grass-jelly-combos,https://meetfresh.us/wp-content/uploads/2019/10/5f05f890-b2dc-42ff-9496-5e2a2ffc417f.png,702,"<img alt=""Contains Peanut Allergen"" class=""alignnone wp-image-4975"" decoding=""async"" height=""18"" loading=""lazy"" src=""https://meetfresh.us/wp-content/uploads/2021/04/allergy-icons-peanuts-1.png"" width=""18""/>"
10,"Hot Grass Jelly Soup Combo A -with Red Beans, Peanuts, Boba, Mini Taro Balls, and Grass Jelly Soup",https://www.meetfresh.us/hot-grass-jelly-soup-combos/,https://meetfresh.us/wp-content/uploads/2019/10/93b487fd-24ce-4f9d-baf3-d39019f8d202.png,880,"<img alt=""Contains Peanut Allergen"" class=""alignnone size-full wp-image-4975"" decoding=""async"" height=""30"" loading=""lazy"" src=""https://meetfresh.us/wp-content/uploads/2021/04/allergy-icons-peanuts-1.png"" width=""30""/>"
